#equipos
id_equipo,nombre
1,Ferrari
2,Mercedes
3,"Red Bull Racing"
#pilotos
id_piloto,nombre_completo,id_equipo,numero_coche,habilidad
1,"Charles Leclerc",1,16,8
2,"Lewis Hamilton",2,44,7
3,"Max Verstappen",3,33,10
#circuitos
id_circuito,nombre,pais,longitud,numero_vueltas,condiciones_comunes
1,Monza,Italia,5.79,53,SOLEADO
2,Spa-Francorchamps,Bélgica,7.00,44,LLUVIOSO
3,Silverstone,"Reino Unido",5.89,52,NUBLADO
#estrategias
id_estrategia,id_equipo,nombre,tipo_neumatico,combustible_inicial
1,1,"Estrategia A",BLANDO,BAJO
2,2,"Estrategia B",MEDIO,NORMAL
3,3,"Estrategia C",DURO,ALTO
#resultados
id_resultado,id_circuito,id_piloto,id_estrategia,posicion_final

